Run	Model	start	End	Total time(min)	Initial errors	Repair count	Error progression	Result	Failure_category	Programmatic_Fix_Used	baseline_mutation	augmented_mutation	tests_generated	augmentation_success
1	deepseek-coder:6.7b	09:09	09:09	0.6	0	0	-	Success	-	No	5/6	-	5	skip
6	deepseek-coder:6.7b	09:09	09:10	0.9	1	1	1	Success	-	No	4/11	-	2	skip
1	deepseek-coder:6.7b	09:10	09:13	3.0	1	6	1-1-1-1-1-1-1-2-2	Fail	repair_validation_fail	-	-	-	-	-
7	deepseek-coder:6.7b	09:14	09:16	1.4	0	0	-	Success	-	No	5/19	8/19	4	yes
9	deepseek-coder:6.7b	09:16	09:17	1.4	0	0	-	Success	-	No	14/25	-	4	no
1	deepseek-coder:6.7b	09:17	09:21	3.6	2	3	2-2-1-1	Success	-	Yes	10/19	16/19	8	yes
2	deepseek-coder:6.7b	09:27	09:28	0.8	0	0	-	Success	-	No	24/57	-	5	no
2	deepseek-coder:6.7b	09:28	09:28	0.8	0	0	-	Success	-	No	5/6	-	5	skip
7	deepseek-coder:6.7b	09:28	09:29	1.0	3	0	3-2-1	Fail	repair_validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	09:30	09:31	0.9	0	0	-	Success	-	No	6/7	-	4	no
1	deepseek-coder:6.7b	09:31	09:33	2.0	0	0	-	Success	-	No	13/20	15/20	7	yes
2	deepseek-coder:6.7b	09:33	09:35	1.5	0	0	-	Success	-	No	17/44	-	5	no
8	deepseek-coder:6.7b	09:35	09:36	1.3	0	0	-	Success	-	No	8/19	-	4	no
10	deepseek-coder:6.7b	09:36	09:38	1.5	0	0	-	Success	-	No	14/25	14/25	4	yes
2	deepseek-coder:6.7b	09:38	09:38	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	09:46	09:50	4.0	2	4	2-2-2-1-1-1	Success	-	Yes	17/24	-	5	no
1	deepseek-coder:6.7b	09:50	09:54	3.7	2	6	2-2-1-2-2-1-1-1	Success	-	Yes	17/22	-	3	no
2	deepseek-coder:6.7b	10:08	10:10	1.3	0	0	-	Success	-	No	6/7	-	4	no
2	deepseek-coder:6.7b	10:10	10:12	1.7	0	0	-	Success	-	No	14/19	16/19	7	yes
3	deepseek-coder:6.7b	10:18	10:19	0.9	1	1	1	Success	-	No	24/57	-	5	no
3	deepseek-coder:6.7b	10:19	10:20	0.6	0	0	-	Success	-	No	5/6	-	5	skip
8	deepseek-coder:6.7b	10:20	10:21	0.7	1	1	1	Success	-	No	4/11	-	2	skip
3	deepseek-coder:6.7b	10:21	10:21	0.3	0	0	-	Fail	validation_fail	-	-	-	-	-
3	deepseek-coder:6.7b	10:21	10:22	1.0	0	0	-	Success	-	No	6/7	-	4	no
2	deepseek-coder:6.7b	10:22	10:22	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
3	deepseek-coder:6.7b	10:22	10:23	1.1	0	0	-	Success	-	No	17/44	-	5	no
9	deepseek-coder:6.7b	10:23	10:24	1.3	0	0	-	Success	-	No	8/19	4/19	6	yes
11	deepseek-coder:6.7b	10:24	10:26	1.4	0	0	-	Success	-	No	14/25	-	4	no
2	deepseek-coder:6.7b	10:26	10:26	0.5	0	0	-	Success	-	No	7/7	-	4	skip
2	deepseek-coder:6.7b	10:26	10:27	1.2	0	0	-	Success	-	No	17/24	-	5	no
3	deepseek-coder:6.7b	10:27	10:29	1.2	0	0	-	Success	-	No	7/19	15/19	4	yes
2	deepseek-coder:6.7b	10:29	10:30	0.9	1	1	1-1	Fail	repair_validation_fail	-	-	-	-	-
4	deepseek-coder:6.7b	11:00	11:01	0.9	1	1	1	Success	-	No	24/57	-	5	no
1	deepseek-coder:6.7b	11:01	11:02	1.1	2	0	2	Fail	repair_validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	11:02	11:03	1.4	0	0	-	Success	-	No	85/94	-	3	no
4	deepseek-coder:6.7b	11:03	11:04	0.6	0	0	-	Success	-	No	5/6	-	5	skip
1	deepseek-coder:6.7b	11:04	11:11	7.1	1	10	1-1-1-2-2-2-2-1-2-2-2	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	11:11	11:13	2.1	4	0	4-2-1-1	Success	-	Yes	25/138	25/138	6	yes
9	deepseek-coder:6.7b	11:13	11:14	0.6	2	0	2	Success	-	Yes	7/11	-	3	skip
3	deepseek-coder:6.7b	11:14	11:17	3.1	1	5	1-1-1-1-1-1-1	Success	-	Yes	17/31	18/31	6	yes
1	deepseek-coder:6.7b	11:17	11:19	2.2	4	3	4-2-1-2-1	Fail	repair_validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	11:19	11:21	2.2	2	1	2	Success	-	No	16/27	-	5	no
1	deepseek-coder:6.7b	11:21	11:22	0.5	0	0	-	Fail	mvn_no_parse	-	-	-	-	-
1	deepseek-coder:6.7b	11:22	11:23	1.0	0	0	-	Success	-	No	17/24	-	3	no
4	deepseek-coder:6.7b	11:23	11:24	0.9	0	0	-	Success	-	No	6/7	-	4	no
2	deepseek-coder:6.7b	11:24	11:25	1.6	0	0	-	Success	-	No	13/20	-	3	no
1	deepseek-coder:6.7b	11:25	11:27	1.3	1	3	1-1-1-1	Fail	mvn_no_parse	-	-	-	-	-
1	deepseek-coder:6.7b	11:27	11:27	0.5	0	0	-	Success	-	No	5/16	-	2	skip
4	deepseek-coder:6.7b	11:27	11:29	1.8	1	1	1	Success	-	No	13/44	-	4	no
1	deepseek-coder:6.7b	11:29	11:31	2.0	2	2	2-2	Success	-	No	22/66	-	2	no
10	deepseek-coder:6.7b	11:31	11:32	1.3	0	0	-	Success	-	No	4/19	5/19	6	yes
12	deepseek-coder:6.7b	11:32	11:32	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	11:32	11:34	1.3	0	0	-	Success	-	No	12/16	14/16	7	yes
1	deepseek-coder:6.7b	11:34	11:42	8.3	1	10	1-2-2-2-1-2-2-2-2-2-2	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	11:42	11:46	4.3	3	10	3-2-2-1-1-1-1-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
3	deepseek-coder:6.7b	11:46	11:47	0.6	0	0	-	Success	-	No	7/7	-	4	skip
1	deepseek-coder:6.7b	11:47	11:51	4.1	1	5	1-1-1-1-1-1-3	Fail	mvn_no_parse	-	-	-	-	-
1	deepseek-coder:6.7b	11:51	11:57	6.0	1	10	1-1-2-2-2-2-2-2-2-2-1	Fail	repair_exceeded	-	-	-	-	-
3	deepseek-coder:6.7b	11:57	11:58	1.3	0	0	-	Success	-	No	17/24	-	5	no
4	deepseek-coder:6.7b	11:58	12:00	1.4	0	0	-	Success	-	No	15/19	-	4	no
3	deepseek-coder:6.7b	12:00	12:00	0.5	0	0	-	Fail	validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	12:00	12:05	5.0	3	8	3-2-1-1-1-2-1-1-2	Success	-	Yes	16/32	-	3	no
2	deepseek-coder:6.7b	13:06	13:07	1.3	1	0	1	Fail	repair_validation_fail	-	-	-	-	-
2	deepseek-coder:6.7b	13:07	13:16	8.1	2	10	2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2	Fail	repair_exceeded	-	-	-	-	-
2	deepseek-coder:6.7b	13:16	13:20	4.0	3	4	3-1-2-3-3-3-2-2-2	Fail	repair_validation_fail	-	-	-	-	-
2	deepseek-coder:6.7b	13:20	13:23	3.8	2	4	2-1-4-1-1-1	Fail	repair_validation_fail	-	-	-	-	-
2	deepseek-coder:6.7b	13:23	13:25	1.8	0	0	-	Success	-	No	15/16	-	3	no
12	deepseek-coder:6.7b	13:25	13:28	2.8	0	0	-	Success	-	No	14/25	18/25	4	yes
2	deepseek-coder:6.7b	13:28	13:33	4.8	1	5	1-1-1-1-1	Success	-	No	5/177	-	1	no
2	deepseek-coder:6.7b	13:33	13:44	11.3	2	10	2-1-1-1-2-2-2-2-2-2-2	Fail	repair_exceeded	-	-	-	-	-
2	deepseek-coder:6.7b	13:44	13:47	3.1	3	3	3-3-2-3-3-2	Fail	repair_validation_fail	-	-	-	-	-
2	deepseek-coder:6.7b	13:47	13:49	1.8	0	0	-	Success	-	No	21/28	21/28	7	yes
3	deepseek-coder:6.7b	13:49	13:50	1.5	0	0	-	Success	-	No	17/22	-	3	no
5	deepseek-coder:6.7b	14:38	14:40	1.7	0	0	-	Success	-	No	24/57	24/57	8	yes
1	deepseek-coder:6.7b	14:40	14:45	4.4	1	10	1-1-1-1-1-1-1-1-1-1-1-1-1	Fail	repair_exceeded	-	-	-	-	-
1	deepseek-coder:6.7b	14:45	14:47	2.2	1	2	1-1	Fail	mvn_no_parse	-	-	-	-	-
3	deepseek-coder:6.7b	14:47	14:48	1.5	3	0	3	Fail	repair_validation_fail	-	-	-	-	-
2	deepseek-coder:6.7b	14:48	14:50	1.8	0	0	-	Success	-	No	85/94	86/94	5	yes
5	deepseek-coder:6.7b	14:50	14:51	0.8	0	0	-	Success	-	No	5/6	-	5	skip
3	deepseek-coder:6.7b	14:51	14:52	1.7	4	1	4	Fail	mvn_no_parse	-	-	-	-	-
2	deepseek-coder:6.7b	14:52	14:53	0.7	0	0	-	Fail	validation_fail	-	-	-	-	-
10	deepseek-coder:6.7b	14:53	14:54	0.7	3	0	3	Fail	mvn_no_parse	-	-	-	-	-
4	deepseek-coder:6.7b	14:54	14:55	1.5	0	0	-	Success	-	No	18/31	-	4	no
3	deepseek-coder:6.7b	14:55	14:56	1.2	3	1	3	Fail	mvn_no_parse	-	-	-	-	-
2	deepseek-coder:6.7b	14:56	14:58	1.7	0	0	-	Success	-	No	14/27	-	4	no
3	deepseek-coder:6.7b	14:58	14:59	1.2	1	0	1	Fail	repair_validation_fail	-	-	-	-	-
1	deepseek-coder:6.7b	14:59	15:01	1.3	1	1	1	Success	-	No	8/9	-	2	skip
1	deepseek-coder:6.7b	15:01	15:03	2.3	1	2	1-1	Success	-	No	6/13	-	4	no
1	deepseek-coder:6.7b	15:03	15:05	1.8	2	1	2-1	Success	-	Yes	10/12	-	3	no
2	deepseek-coder:6.7b	15:05	15:06	1.6	0	0	-	Success	-	No	18/24	-	4	no
1	deepseek-coder:6.7b	15:06	15:07	1.2	2	1	2	Fail	mvn_no_parse	-	-	-	-	-
5	deepseek-coder:6.7b	15:07	15:08	0.7	0	0	-	Success	-	No	6/7	-	4	no
1	deepseek-coder:6.7b	15:08	15:10	1.6	1	0	1	Success	-	Yes	24/28	-	5	no
3	deepseek-coder:6.7b	15:10	15:10	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
3	deepseek-coder:6.7b	15:10	15:11	1.2	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
2	deepseek-coder:6.7b	15:11	15:12	0.8	0	0	-	Success	-	No	5/16	-	2	skip
5	deepseek-coder:6.7b	15:12	15:13	1.2	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
2	deepseek-coder:6.7b	15:13	15:15	2.4	0	0	-	Success	-	No	35/66	37/66	8	yes
11	deepseek-coder:6.7b	15:15	15:17	1.5	0	0	-	Success	-	No	5/19	3/19	6	yes
13	deepseek-coder:6.7b	15:17	15:19	1.9	0	0	-	Success	-	No	14/25	18/25	4	yes
1	deepseek-coder:6.7b	15:19	15:20	1.4	0	0	-	Success	-	No	10/31	-	5	no
1	deepseek-coder:6.7b	15:20	15:21	1.0	0	0	-	Success	-	No	1/10	-	2	skip
2	deepseek-coder:6.7b	15:21	15:23	1.6	0	0	-	Success	-	No	6/16	-	1	no
3	deepseek-coder:6.7b	15:23	15:26	3.5	0	0	-	Success	-	No	106/177	106/177	6	yes
3	deepseek-coder:6.7b	15:41	15:43	1.8	2	2	2-1-2	Fail	mvn_no_parse	-	-	-	-	-
4	deepseek-coder:6.7b	15:43	15:44	0.5	0	0	-	Success	-	No	7/7	-	4	skip
3	deepseek-coder:6.7b	15:44	15:45	1.5	0	0	-	Success	-	No	13/27	-	5	no
3	deepseek-coder:6.7b	15:45	15:47	1.2	0	0	-	Success	-	No	21/28	-	7	no
4	deepseek-coder:6.7b	15:47	15:48	1.2	0	0	-	Success	-	No	17/24	-	5	no
5	deepseek-coder:6.7b	15:48	15:49	1.0	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
4	deepseek-coder:6.7b	15:49	15:49	0.8	0	0	-	Success	-	No	17/22	-	3	no
2	deepseek-coder:6.7b	15:49	15:50	1.0	2	1	2	Fail	mvn_no_parse	-	-	-	-	-
2	deepseek-coder:6.7b	16:13	16:14	1.0	0	0	-	Success	-	No	39/40	-	2	skip
2	deepseek-coder:6.7b	16:14	16:16	2.7	2	3	2-1-2-1-1	Fail	repair_validation_fail	-	-	-	-	-
4	deepseek-coder:6.7b	16:16	16:18	1.6	2	0	2	Fail	repair_validation_fail	-	-	-	-	-
4	deepseek-coder:6.7b	16:18	16:19	1.2	2	1	2	Fail	mvn_no_parse	-	-	-	-	-
2	deepseek-coder:6.7b	16:19	16:20	0.7	0	0	-	Fail	validation_fail	-	-	-	-	-
11	deepseek-coder:6.7b	16:20	16:20	0.6	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
4	deepseek-coder:6.7b	16:20	16:22	1.4	3	1	3	Fail	mvn_no_parse	-	-	-	-	-
4	deepseek-coder:6.7b	16:22	16:23	1.3	1	0	1	Fail	repair_validation_fail	-	-	-	-	-
3	deepseek-coder:6.7b	16:23	16:24	1.2	0	0	-	Success	-	No	18/40	-	2	skip
3	deepseek-coder:6.7b	16:24	16:26	1.9	1	1	1-1	Fail	repair_validation_fail	-	-	-	-	-
2	deepseek-coder:6.7b	16:23	16:27	3.5	3	3	3-1-2	Fail	mvn_no_parse	-	-	-	-	-
5	deepseek-coder:6.7b	16:26	16:28	2.5	1	0	1	Fail	repair_validation_fail	-	-	-	-	-
3	deepseek-coder:6.7b	16:27	16:29	2.7	0	0	-	Success	-	No	13/20	-	3	no
4	deepseek-coder:6.7b	16:29	16:31	1.7	1	1	1	Fail	pitest_fail	-	-	-	-	-
6	deepseek-coder:6.7b	16:31	16:33	1.9	1	1	1	Fail	pitest_fail	-	-	-	-	-
2	deepseek-coder:6.7b	16:33	16:35	1.9	0	0	-	Success	-	No	8/15	-	3	no
5	deepseek-coder:6.7b	16:28	16:35	6.7	2	5	2-2-2-2-2-1-2-2-2-2	Fail	repair_validation_fail	-	-	-	-	-
5	deepseek-coder:6.7b	16:35	16:37	2.3	5	0	5	Fail	repair_validation_fail	-	-	-	-	-
4	deepseek-coder:6.7b	16:35	16:41	6.0	2	4	2-1-1-1-1	Fail	mvn_no_parse	-	-	-	-	-
6	deepseek-coder:6.7b	16:41	16:43	2.0	1	1	1	Fail	pitest_fail	-	-	-	-	-
3	deepseek-coder:6.7b	16:43	16:45	2.3	0	0	-	Success	-	No	23/32	-	4	no
5	deepseek-coder:6.7b	16:37	16:47	10.0	3	8	3-2-2-1-1-1-1-1-1-1-1	Fail	mvn_no_parse	-	-	-	-	-
4	deepseek-coder:6.7b	18:33	18:34	0.8	0	0	-	Success	-	No	15/40	-	2	skip
4	deepseek-coder:6.7b	18:34	18:35	0.9	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
6	deepseek-coder:6.7b	18:35	18:36	1.2	1	0	1	Fail	repair_validation_fail	-	-	-	-	-
6	deepseek-coder:6.7b	18:36	18:37	1.1	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
6	deepseek-coder:6.7b	18:39	18:39	0.8	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
5	deepseek-coder:6.7b	18:39	18:40	0.7	0	0	-	Success	-	No	15/40	-	2	skip
5	deepseek-coder:6.7b	18:40	18:41	1.2	0	0	-	Success	-	No	55/72	56/72	7	yes
7	deepseek-coder:6.7b	18:41	18:42	1.1	3	0	3	Fail	repair_validation_fail	-	-	-	-	-
3	deepseek-coder:6.7b	18:42	18:44	1.5	0	0	-	Success	-	No	86/94	-	5	no
6	deepseek-coder:6.7b	18:44	18:44	0.5	0	0	-	Fail	validation_fail	-	-	-	-	-
6	deepseek-coder:6.7b	18:44	18:45	1.0	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
2	deepseek-coder:6.7b	18:45	18:46	0.6	0	0	-	Fail	validation_fail	-	-	-	-	-
12	deepseek-coder:6.7b	18:46	18:47	0.5	1	0	1	Fail	mvn_no_parse	-	-	-	-	-
5	deepseek-coder:6.7b	18:47	18:47	0.8	1	0	1	Fail	repair_validation_fail	-	-	-	-	-
7	deepseek-coder:6.7b	18:47	18:48	0.9	2	1	2	Fail	mvn_no_parse	-	-	-	-	-
3	deepseek-coder:6.7b	18:48	18:49	1.3	0	0	-	Success	-	No	14/27	-	4	no
5	deepseek-coder:6.7b	18:49	18:50	0.7	1	0	1	Fail	repair_validation_fail	-	-	-	-	-
2	deepseek-coder:6.7b	18:50	18:51	0.5	0	0	-	Success	-	No	8/9	-	3	skip
2	deepseek-coder:6.7b	18:51	18:52	1.2	0	0	-	Success	-	No	9/13	-	4	no
2	deepseek-coder:6.7b	18:52	18:52	0.5	1	0	1	Fail	mvn_no_parse	-	-	-	-	-
3	deepseek-coder:6.7b	18:52	18:53	1.0	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
3	deepseek-coder:6.7b	18:53	18:56	2.2	4	1	4	Fail	mvn_no_parse	-	-	-	-	-
6	deepseek-coder:6.7b	18:56	18:56	0.8	0	0	-	Success	-	No	6/7	-	5	no
2	deepseek-coder:6.7b	18:56	18:57	1.0	0	0	-	Success	-	No	24/28	-	5	no
4	deepseek-coder:6.7b	18:57	18:59	1.4	0	0	-	Success	-	No	13/20	-	3	no
5	deepseek-coder:6.7b	18:59	19:00	1.1	0	0	-	Success	-	No	15/16	-	3	no
3	deepseek-coder:6.7b	19:00	19:00	0.6	0	0	-	Success	-	No	5/16	-	2	skip
7	deepseek-coder:6.7b	19:00	19:01	1.0	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
3	deepseek-coder:6.7b	19:01	19:02	0.2	0	0	-	Fail	validation_fail	-	-	-	-	-
12	deepseek-coder:6.7b	19:02	19:03	1.2	0	0	-	Success	-	No	3/19	-	5	no
14	deepseek-coder:6.7b	19:03	19:05	1.7	0	0	-	Success	-	No	18/25	19/25	5	yes
2	deepseek-coder:6.7b	19:05	19:06	1.3	0	0	-	Success	-	No	10/31	-	5	no
2	deepseek-coder:6.7b	19:06	19:07	1.1	0	0	-	Success	-	No	1/10	-	4	skip
3	deepseek-coder:6.7b	19:07	19:08	1.1	0	0	-	Success	-	No	9/16	13/16	8	yes
4	deepseek-coder:6.7b	19:08	19:10	1.5	0	0	-	Success	-	No	88/177	13/177	4	yes
3	deepseek-coder:6.7b	19:10	19:11	1.4	0	0	-	Success	-	No	8/15	-	3	no
6	deepseek-coder:6.7b	19:11	19:13	2.1	2	3	2-1-2-1-1	Fail	repair_validation_fail	-	-	-	-	-
5	deepseek-coder:6.7b	19:13	19:14	0.6	0	0	-	Success	-	No	7/7	-	4	skip
4	deepseek-coder:6.7b	19:14	19:16	2.0	0	0	-	Success	-	No	14/27	13/27	6	yes
4	deepseek-coder:6.7b	19:16	19:17	1.1	0	0	-	Success	-	No	21/28	-	7	no
5	deepseek-coder:6.7b	19:17	19:18	1.1	0	0	-	Success	-	No	17/24	-	5	no
7	deepseek-coder:6.7b	19:18	19:19	1.3	0	0	-	Success	-	No	15/19	9/19	1	yes
5	deepseek-coder:6.7b	19:19	19:20	1.0	0	0	-	Success	-	No	17/22	17/22	4	yes
4	deepseek-coder:6.7b	19:20	19:21	1.1	0	0	-	Success	-	No	23/32	-	4	no
6	deepseek-coder:6.7b	19:24	19:25	0.6	0	0	-	Success	-	No	15/40	-	2	skip
6	deepseek-coder:6.7b	19:25	19:25	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
8	deepseek-coder:6.7b	19:25	19:27	1.8	4	0	4	Fail	repair_validation_fail	-	-	-	-	-
4	deepseek-coder:6.7b	19:27	19:28	1.2	0	0	-	Success	-	No	86/94	-	5	no
6	deepseek-coder:6.7b	19:28	19:29	0.8	0	0	-	Success	-	No	4/6	-	4	skip
7	deepseek-coder:6.7b	19:29	19:30	1.2	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
2	deepseek-coder:6.7b	19:30	19:31	0.6	0	0	-	Fail	validation_fail	-	-	-	-	-
13	deepseek-coder:6.7b	19:31	19:31	0.4	0	0	-	Success	-	No	4/11	-	2	skip
6	deepseek-coder:6.7b	19:31	19:32	0.8	2	0	2	Fail	repair_validation_fail	-	-	-	-	-
8	deepseek-coder:6.7b	19:32	19:33	1.1	5	0	5	Fail	repair_validation_fail	-	-	-	-	-
4	deepseek-coder:6.7b	19:33	19:34	1.1	2	0	2	Fail	repair_validation_fail	-	-	-	-	-
6	deepseek-coder:6.7b	19:34	19:35	1.1	1	0	1	Fail	repair_validation_fail	-	-	-	-	-
3	deepseek-coder:6.7b	19:35	19:36	0.8	1	0	1	Fail	repair_validation_fail	-	-	-	-	-
3	deepseek-coder:6.7b	19:36	19:37	0.6	0	0	-	Success	-	No	9/13	-	4	no
3	deepseek-coder:6.7b	19:37	19:37	0.6	2	0	2	Fail	mvn_no_parse	-	-	-	-	-
4	deepseek-coder:6.7b	19:37	19:38	1.0	0	0	-	Success	-	No	16/24	-	4	no
4	deepseek-coder:6.7b	19:38	19:41	2.3	17	0	17	Fail	repair_validation_fail	-	-	-	-	-
7	deepseek-coder:6.7b	19:41	19:42	1.0	0	0	-	Success	-	No	6/7	-	5	no
3	deepseek-coder:6.7b	19:42	19:42	0.6	1	0	1	Fail	mvn_no_parse	-	-	-	-	-
5	deepseek-coder:6.7b	19:42	19:44	1.5	0	0	-	Success	-	No	12/20	-	3	no
6	deepseek-coder:6.7b	19:44	19:45	1.2	0	0	-	Success	-	No	15/16	-	3	no
4	deepseek-coder:6.7b	19:45	19:46	0.6	0	0	-	Success	-	No	5/16	-	2	skip
8	deepseek-coder:6.7b	19:46	19:47	0.9	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
3	deepseek-coder:6.7b	19:47	19:49	2.0	0	0	-	Success	-	No	35/66	20/66	4	yes
13	deepseek-coder:6.7b	19:49	19:50	1.4	0	0	-	Success	-	No	3/19	9/19	8	yes
15	deepseek-coder:6.7b	19:50	19:50	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
3	deepseek-coder:6.7b	19:50	19:51	1.3	0	0	-	Success	-	No	10/31	-	5	no
3	deepseek-coder:6.7b	19:51	19:52	0.7	0	0	-	Success	-	No	1/10	-	3	skip
4	deepseek-coder:6.7b	19:52	19:53	1.0	0	0	-	Success	-	No	8/16	12/16	7	yes
5	deepseek-coder:6.7b	19:53	19:54	1.0	0	0	-	Success	-	No	13/177	-	4	no
4	deepseek-coder:6.7b	19:54	19:54	0.1	0	0	-	Fail	validation_fail	-	-	-	-	-
7	deepseek-coder:6.7b	19:54	19:55	1.0	3	1	3	Fail	mvn_no_parse	-	-	-	-	-
6	deepseek-coder:6.7b	19:55	19:56	0.6	0	0	-	Success	-	No	7/7	-	4	skip
5	deepseek-coder:6.7b	19:56	19:57	0.7	0	0	-	Fail	validation_fail	-	-	-	-	-
5	deepseek-coder:6.7b	19:57	19:58	1.0	8	0	8	Fail	repair_validation_fail	-	-	-	-	-
6	deepseek-coder:6.7b	19:58	19:59	1.2	0	0	-	Success	-	No	17/24	-	5	no
8	deepseek-coder:6.7b	19:59	20:00	1.7	0	0	-	Success	-	No	13/19	11/19	7	yes
6	deepseek-coder:6.7b	20:00	20:02	1.1	0	0	-	Success	-	No	17/22	-	4	no
5	deepseek-coder:6.7b	20:02	20:03	1.3	0	0	-	Success	-	No	23/32	-	4	no
7	deepseek-coder:6.7b	12:16	12:18	1.7	1	1	1	Success	-	No	24/57	-	8	no
7	deepseek-coder:6.7b	12:18	12:18	0.6	0	0	-	Success	-	No	15/40	-	2	skip
6	deepseek-coder:6.7b	12:18	12:21	2.4	0	0	-	Success	-	No	56/72	-	7	no
9	deepseek-coder:6.7b	12:21	12:22	1.4	2	1	2	Fail	mvn_no_parse	-	-	-	-	-
5	deepseek-coder:6.7b	12:22	12:24	1.7	0	0	-	Success	-	No	86/94	-	5	no
7	deepseek-coder:6.7b	12:24	12:24	0.7	0	0	-	Success	-	No	4/6	-	4	skip
8	deepseek-coder:6.7b	12:24	12:25	1.1	0	0	-	Fail	validation_fail	-	-	-	-	-
2	deepseek-coder:6.7b	12:25	12:26	0.7	0	0	-	Fail	validation_fail	-	-	-	-	-
14	deepseek-coder:6.7b	12:26	12:27	0.7	3	0	3	Fail	mvn_no_parse	-	-	-	-	-
7	deepseek-coder:6.7b	12:27	12:28	1.1	2	1	2	Fail	mvn_no_parse	-	-	-	-	-
9	deepseek-coder:6.7b	12:28	12:30	1.7	5	0	5	Fail	repair_validation_fail	-	-	-	-	-
5	deepseek-coder:6.7b	12:30	12:31	1.7	1	1	1	Fail	mvn_no_parse	-	-	-	-	-
7	deepseek-coder:6.7b	12:31	12:34	2.8	2	2	2-1-1	Fail	mvn_no_parse	-	-	-	-	-
4	deepseek-coder:6.7b	12:34	12:35	0.6	0	0	-	Fail	validation_fail	-	-	-	-	-
