"pipeline","model","attempts","profile","run","cut","status","baseline_mutation","augmented_mutation","baseline_mutation_percent","augmented_mutation_percent","delta_pp","source_dir"
"ansi_fixed","32b","15","baseline","1","StringLink","SUCCESS","8/15","8/15","53.3333333333333","53.3333333333333","0","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","StringList","SUCCESS","9/13","-","69.2307692307692",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","StringUtils","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","ToStringConverter","SUCCESS","7/7","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","UniqueTimestampGenerator","SUCCESS","8/27","20/27","29.6296296296296","74.0740740740741","44.4444444444444","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","Util","SUCCESS","8/28","-","28.5714285714286",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","1","Version","SUCCESS","12/19","15/19","63.1578947368421","78.9473684210526","15.7894736842105","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run1.tar"
"ansi_fixed","32b","15","baseline","2","ArrayUtil","SUCCESS","23/57","35/57","40.3508771929825","61.4035087719298","21.0526315789474","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","Axis","SUCCESS","16/40","-","40",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","Base32","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","Base64","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","Base64Coder","SUCCESS","81/94","89/94","86.1702127659574","94.6808510638298","8.51063829787235","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","BigDecimalUtil","SUCCESS","4/6","-","66.6666666666667",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","BinaryDisplayConverter","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","ByteVector","SUCCESS","31/138","49/138","22.463768115942","35.5072463768116","13.0434782608696","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","CaselessStringMap","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","CommandLine","SUCCESS","16/32","19/32","50","59.375","9.375","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","DateTools","SUCCESS","18/27","-","66.6666666666667",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","DateUtil","SUCCESS","23/28","25/28","82.1428571428571","89.2857142857143","7.14285714285715","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","DisplayHelper","SUCCESS","9/9","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","EmailFacadeState","SUCCESS","9/13","11/13","69.2307692307692","84.6153846153846","15.3846153846154","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","FilterMatcher","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","GridLayout2","SUCCESS","20/103","-","19.4174757281553",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","HashCodeUtils","SUCCESS","27/38","33/38","71.0526315789474","86.8421052631579","15.7894736842105","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","HtmlEncoder","SUCCESS","6/7","-","85.7142857142857",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","IndexedString","SUCCESS","25/28","28/28","89.2857142857143","100","10.7142857142857","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","Inflection","SUCCESS","14/20","-","70",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","InspirentoUtilities","SUCCESS","15/16","15/16","93.75","93.75","0","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","MapUtil","SUCCESS","16/16","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","MathUtil","SUCCESS","23/44","25/44","52.2727272727273","56.8181818181818","4.54545454545455","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","NaturalSort","SUCCESS","29/66","-","43.9393939393939",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","ObjectsUtil","SUCCESS","6/14","-","42.8571428571429",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","Reference","SUCCESS","10/19","-","52.6315789473684",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","Region","SUCCESS","10/25","16/25","40","64","24","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","SAXPathException","SUCCESS","2/10","3/10","20","30","10","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","SimpleCounter","SUCCESS","3/3","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","SortedArrayList","SUCCESS","13/19","17/19","68.4210526315789","89.4736842105263","21.0526315789474","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","SortedMapVector","SUCCESS","20/63","-","31.7460317460317",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","StringComparator","SUCCESS","14/16","-","87.5",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","StringEncoder64","SUCCESS","103/177","-","58.1920903954802",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","StringLink","SUCCESS","8/15","-","53.3333333333333",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","StringList","SUCCESS","9/13","-","69.2307692307692",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","StringUtils","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","ToStringConverter","SUCCESS","7/7","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","UniqueTimestampGenerator","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","Util","SUCCESS","14/28","27/28","50","96.4285714285714","46.4285714285714","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","2","Version","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run2.tar"
"ansi_fixed","32b","15","baseline","3","ArrayUtil","SUCCESS","35/57","42/57","61.4035087719298","73.6842105263158","12.280701754386","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","Axis","SUCCESS","17/40","-","42.5",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","Base32","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","Base64","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","Base64Coder","SUCCESS","81/94","-","86.1702127659574",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","BigDecimalUtil","SUCCESS","4/6","-","66.6666666666667",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","BinaryDisplayConverter","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","ByteVector","SUCCESS","31/138","53/138","22.463768115942","38.4057971014493","15.9420289855072","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","CaselessStringMap","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","CommandLine","SUCCESS","25/32","-","78.125",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","DateTools","SUCCESS","18/27","22/27","66.6666666666667","81.4814814814815","14.8148148148148","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","DateUtil","SUCCESS","20/28","26/28","71.4285714285714","92.8571428571429","21.4285714285714","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","DisplayHelper","SUCCESS","9/9","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","EmailFacadeState","SUCCESS","10/13","13/13","76.9230769230769","100","23.0769230769231","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","FilterMatcher","SUCCESS","18/24","-","75",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","GridLayout2","SUCCESS","20/103","-","19.4174757281553",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","HashCodeUtils","SUCCESS","31/38","34/38","81.5789473684211","89.4736842105263","7.89473684210526","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","HtmlEncoder","SUCCESS","6/7","6/7","85.7142857142857","85.7142857142857","0","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","IndexedString","SUCCESS","26/28","28/28","92.8571428571429","100","7.14285714285714","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","Inflection","SUCCESS","14/20","-","70",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","InspirentoUtilities","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","MapUtil","SUCCESS","16/16","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","MathUtil","SUCCESS","21/44","25/44","47.7272727272727","56.8181818181818","9.09090909090909","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","NaturalSort","SUCCESS","35/66","51/66","53.030303030303","77.2727272727273","24.2424242424242","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","ObjectsUtil","SUCCESS","6/14","-","42.8571428571429",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","Reference","SUCCESS","10/19","-","52.6315789473684",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","Region","SUCCESS","7/25","24/25","28","96","68","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","SAXPathException","SUCCESS","1/10","-","10",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","SimpleCounter","SUCCESS","3/3","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","SortedArrayList","SUCCESS","13/19","-","68.4210526315789",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","SortedMapVector","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","StringComparator","SUCCESS","14/16","-","87.5",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","StringEncoder64","SUCCESS","90/177","-","50.8474576271186",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","StringLink","SUCCESS","8/15","8/15","53.3333333333333","53.3333333333333","0","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","StringList","SUCCESS","8/13","10/13","61.5384615384615","76.9230769230769","15.3846153846154","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","StringUtils","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","ToStringConverter","SUCCESS","7/7","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","UniqueTimestampGenerator","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","Util","SUCCESS","8/28","-","28.5714285714286",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","baseline","3","Version","SUCCESS","12/19","16/19","63.1578947368421","84.2105263157895","21.0526315789474","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_baseline_ansi_run3.tar"
"ansi_fixed","32b","15","detailed","1","ArrayUtil","SUCCESS","14/57","27/57","24.5614035087719","47.3684210526316","22.8070175438596","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","Axis","SUCCESS","16/40","-","40",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","Base32","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","Base64","SUCCESS","72/95","-","75.7894736842105",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","Base64Coder","SUCCESS","87/94","87/94","92.5531914893617","92.5531914893617","0","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","BigDecimalUtil","SUCCESS","3/6","-","50",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","BinaryDisplayConverter","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","ByteVector","SUCCESS","16/138","-","11.5942028985507",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","CaselessStringMap","FAILED","?","-",,,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","CommandLine","SUCCESS","23/32","27/32","71.875","84.375","12.5","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","DateTools","SUCCESS","10/27","16/27","37.037037037037","59.2592592592593","22.2222222222222","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","DateUtil","SUCCESS","19/28","-","67.8571428571429",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","DisplayHelper","SUCCESS","9/9","-","100",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","EmailFacadeState","SUCCESS","8/13","9/13","61.5384615384615","69.2307692307692","7.69230769230769","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","FilterMatcher","SUCCESS","16/24","21/24","66.6666666666667","87.5","20.8333333333333","D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","GridLayout2","SUCCESS","0/103","-","0",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
"ansi_fixed","32b","15","detailed","1","HashCodeUtils","SUCCESS","27/38","-","71.0526315789474",,,"D:\report\report writing\new_output_compare\ansi\32b\output_32b_15_attempts_detailed_ansi_run1.tar"
